codigos,nome,classe,qtd,part
RRRP3,3R PETROLEUM,ON      NM,235661666,0.278
ALOS3,ALLOS,ON      NM,532616595,0.628
ALPA4,ALPARGATAS,PN      N1,208965950,0.088
ABEV3,AMBEV S/A,ON,4394245879,2.825
ARZZ3,AREZZO CO,ON      NM,62305891,0.181
ASAI3,ASSAI,ON      NM,1349645897,0.788
AZUL4,AZUL,PN      N2,327593725,0.23
B3SA3,B3,ON      NM,5694552584,3.708
BBSE3,BBSEGURIDADE,ON      NM,671750768,0.965
BBDC3,BRADESCO,ON      N1,1500728902,1.033
BBDC4,BRADESCO,PN      N1,5146576868,3.991
BRAP4,BRADESPAR,PN      N1,251003438,0.273
BBAS3,BRASIL,ON  EJ  NM,1420949112,3.431
BRKM5,BRASKEM,PNA     N1,265479055,0.213
BRFS3,BRF SA,ON      NM,1677525446,1.029
BPAC11,BTGP BANCO,UNT     N2,1150645866,1.881
CRFB3,CARREFOUR BR,ON      NM,531372207,0.274
BHIA3,CASAS BAHIA,ON  EG  NM,94463137,0.043
CCRO3,CCR SA,ON      NM,995335937,0.627
CMIG4,CEMIG,PN      N1,1437415777,0.731
CIEL3,CIELO,ON      NM,1095462329,0.219
COGN3,COGNA ON,ON      NM,1815524541,0.281
CPLE6,COPEL,PNB     N2,1679335290,0.735
CSAN3,COSAN,ON      NM,1168097881,0.964
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.316
CMIN3,CSNMINERACAO,ON      N2,1110559345,0.352
CVCB3,CVC BRASIL,ON      NM,443905649,0.075
CYRE3,CYRELA REALT,ON  ED  NM,265784616,0.286
DXCO3,DEXCO,ON      NM,303055637,0.108
ELET3,ELETROBRAS,ON      N1,1980568384,3.636
ELET6,ELETROBRAS,PNB     N1,270230714,0.549
EMBR3,EMBRAER,ON      NM,734632705,0.759
ENGI11,ENERGISA,UNT     N2,290435910,0.659
ENEV3,ENEVA,ON      NM,1578931315,0.936
EGIE3,ENGIE BRASIL,ON      NM,255230961,0.497
EQTL3,EQUATORIAL,ON      NM,1095587251,1.67
EZTC3,EZTEC,ON      NM,91514307,0.077
FLRY3,FLEURY,ON  EJ  NM,345269967,0.276
GGBR4,GERDAU,PN      N1,1118525506,1.163
GOAU4,GERDAU MET,PN      N1,660411219,0.313
GOLL4,GOL,PN      N2,198184909,0.078
NTCO3,GRUPO NATURA,ON      NM,839638069,0.609
SOMA3,GRUPO SOMA,ON      NM,496029967,0.147
HAPV3,HAPVIDA,ON      NM,4324011467,0.862
HYPE3,HYPERA,ON      NM,409490388,0.645
IGTI11,IGUATEMI S.A,UNT     N1,217622138,0.236
IRBR3,IRBBRASIL RE,ON      NM,81838843,0.177
ITSA4,ITAUSA,PN  EJ  N1,5457171904,2.428
ITUB4,ITAUUNIBANCO,PN      N1,4801593832,6.977
JBSS3,JBS,ON      NM,1134986472,1.187
KLBN11,KLABIN S/A,UNT     N2,706747385,0.658
RENT3,LOCALIZA,ON      NM,852600726,2.425
LWSA3,LOCAWEB,ON      NM,425161586,0.112
LREN3,LOJAS RENNER,ON      NM,951318467,0.727
MGLU3,MAGAZ LUIZA,ON      NM,2867627068,0.276
MRFG3,MARFRIG,ON      NM,292587273,0.119
BEEF3,MINERVA,ON      NM,261036182,0.085
MRVE3,MRV,ON      NM,376187582,0.181
MULT3,MULTIPLAN,ON      N2,266965257,0.339
PCAR3,P.ACUCAR-CBD,ON      NM,159430826,0.029
PETR3,PETROBRAS,ON      N2,2585311860,4.316
PETR4,PETROBRAS,PN      N2,4566445852,7.231
RECV3,PETRORECSA,ON      NM,274957807,0.255
PRIO3,PETRORIO,ON  ED  NM,798274909,1.626
PETZ3,PETZ,ON      NM,329077188,0.056
RADL3,RAIADROGASIL,ON      NM,1263596819,1.617
RAIZ4,RAIZEN,PN      N2,1193671389,0.204
RDOR3,REDE D OR,ON  EJ  NM,1168230366,1.465
RAIL3,RUMO S.A.,ON      NM,1218352541,1.196
SBSP3,SABESP,ON      NM,340001799,1.085
SANB11,SANTANDER BR,UNT,342918449,0.479
SMTO3,SAO MARTINHO,ON      NM,143294210,0.187
CSNA3,SID NACIONAL,ON,600865451,0.492
SLCE3,SLC AGRICOLA,ON  EB  NM,203648730,0.167
SUZB3,SUZANO S.A.,ON  EJ  NM,683452836,1.587
TAEE11,TAESA,UNT     N2,218568234,0.357
VIVT3,TELEF BRASIL,ON,423091712,1.008
TIMS3,TIM,ON      NM,807896814,0.655
TOTS3,TOTVS,ON      NM,514122351,0.766
UGPA3,ULTRAPAR,ON      NM,1086411192,1.234
USIM5,USIMINAS,PNA     N1,515117391,0.201
VALE3,VALE,ON      NM,4427123466,14.515
VAMO3,VAMOS,ON      NM,421383330,0.186
VBBR3,VIBRA,ON      NM,1114412532,1.079
WEGE3,WEG,ON  EJ  NM,1481593024,2.359
YDUQ3,YDUQS PART,ON      NM,289347914,0.292
