manchete,subtopico,link,topico,jornal
"

                        OPINIÃO: Aprimorar, não acabar: uma solução para o parcelado sem juros                    
","
 Crédito 
",https://braziljournal.com/opiniao-aprimorar-nao-acabar-uma-solucao-para-o-parcelado-sem-juros/,economia,brazil_journal
"

                        Jakurski: Brasil vai ‘bem melhor’ que previsto e Selic cai abaixo de 10%. Mas futuro é ‘medíocre’                    
","

                                    Investimentos 
                                
",https://braziljournal.com/jakurski-brasil-vai-bem-melhor-que-previsto-e-selic-cai-abaixo-de-10-mas-futuro-e-mediocre/,economia,brazil_journal
"

                        Jakurski: Ano desafiou ‘todos os raciocínios’; S&P 500 está caro; China nunca mais será a mesma                    
","

                                    Gestores 
                                
",https://braziljournal.com/jakurski-ano-desafiou-todos-os-raciocinios-s-china-nunca-mais-sera-a-mesma/,economia,brazil_journal
"

                        OPINIÃO. Dilma, o COFECON, e o ultraje às ‘mulheres sapiens’                    
","

                                    Mercado de ideias 
                                
",https://braziljournal.com/opiniao-dilma-o-cofecon-e-o-ultraje-as-mulheres-sapiens/,economia,brazil_journal
"

                            O Brazil Journal debate a reforma tributária — e o que pode dar errado                        
",Reforma Tributária,https://braziljournal.com/o-brazil-journal-debate-a-reforma-tributaria-e-o-que-pode-dar-errado/,economia,brazil_journal
"

                            G20: O Rio de Janeiro no centro do mundo                        
",Economia,https://braziljournal.com/g20-o-rio-de-janeiro-no-centro-do-mundo/,economia,brazil_journal
"

                        Unico contrata ex-CFO da Hapvida                    
","
 CFO Journal 
",https://braziljournal.com/unico-contrata-ex-cfo-da-hapvida/,tech,brazil_journal
"

                        Shein processada (de novo): ‘Intimidação estilo máfia’                    
","

                                    Varejo & Consumo 
                                
",https://braziljournal.com/shein-processada-de-novo-intimidacao-estilo-mafia/,tech,brazil_journal
"

                        O M&A dos cardápios digitais: Goomer e Abrahão se fundem                    
","

                                    Startups 
                                
",https://braziljournal.com/o-ma-dos-cardapios-digitais-goomer-e-abrahao-se-fundem/,tech,brazil_journal
"

                        Disney + Paramount, Musk fora do X e fim da euforia com AI: o 2024 de Scott Galloway                    
","

                                    Tecnologia & Internet 
                                
",https://braziljournal.com/disney-paramount-musk-fora-do-x-e-fim-da-euforia-com-ai-o-2024-de-scott-galloway/,tech,brazil_journal
"

                            UE vai regular a inteligência artificial. Empresas temem que burocracia sufoque inovação                        
",Inteligência Artificial,https://braziljournal.com/ue-vai-regular-a-inteligencia-artificial-empresas-temem-que-burocracia-sufoque-inovacao/,tech,brazil_journal
"

                            Zubale recebe novo aporte e quer recrutar 10 mil entregadores no Brasil                        
",Varejo & Consumo,https://braziljournal.com/zubale-recebe-novo-aporte-e-quer-recrutar-10-mil-entregadores-no-brasil/,tech,brazil_journal
'Imposto do pecado': como a alíquota extra pode impactar os preços,Reforma tributária,https://g1.globo.com/economia/noticia/2023/12/19/imposto-do-pecado-como-a-aliquota-extra-pode-impactar-os-precos-e-modificar-a-industria.ghtml,economia,g1
13º salário: prazo para pagar a 2ª parcela acaba amanhã, Veja o que fazer se não receber ,https://g1.globo.com/trabalho-e-carreira/noticia/2023/12/19/prazo-para-pagamento-da-2a-parcela-do-13o-salario-termina-nesta-quarta-feira-veja-o-que-fazer-se-voce-nao-receber.ghtml,economia,g1
Americanas: plano de recuperação judicial é votado nesta terça,Fraude fiscal,https://g1.globo.com/economia/negocios/noticia/2023/12/19/americanas-plano-de-recuperacao-judicial-assembleia-de-credores.ghtml,economia,g1
🎧 As regras básicas da educação financeira para começar o ano bem,Economia,https://g1.globo.com/podcast/educacao-financeira/noticia/2023/12/18/educacao-financeira-276-as-regras-basicas-da-educacao-financeira-para-comecar-o-ano-bem.ghtml,economia,g1
"Percentual de biodiesel no diesel passará de 12% para 14% em março e 15% em 2025, diz ministro",Economia,https://g1.globo.com/economia/noticia/2023/12/19/percentual-de-biodiesel-no-diesel-passara-de-12percent-para-14percent-em-marco-e-15percent-em-2025-diz-ministro.ghtml,economia,g1
Lula critica previsões da OCDE para economia brasileira e diz que vai 'provar que erraram',Economia,https://g1.globo.com/politica/noticia/2023/12/19/lula-critica-previsoes-da-ocde-para-economia-brasileira-e-diz-que-vai-provar-que-erraram.ghtml,economia,g1
Celular Seguro é liberado em versão para navegadores; veja como usar,Economia,https://g1.globo.com/tecnologia/noticia/2023/12/19/como-usar-o-celular-seguro-servico-do-governo-para-inibir-roubos-de-smartphones.ghtml,tech,g1
"De olho nas eleições, Congresso quer avançar em 2024 sobre regras para inteligência artificial",Economia,https://g1.globo.com/politica/noticia/2023/12/19/de-olho-nas-eleicoes-congresso-quer-avancar-em-2024-sobre-regras-para-inteligencia-artificial.ghtml,tech,g1
"Celular Seguro, app do governo que visa inibir roubos, terá desafios para cumprir finalidade; veja como vai funcionar",Economia,https://g1.globo.com/tecnologia/noticia/2023/12/19/celular-seguro-app-do-governo-que-visa-inibir-roubos-tera-desafios-para-cumprir-finalidade-veja-como-vai-funcionar.ghtml,tech,g1
Governo lança nesta terça aplicativo para bloquear celular roubado ,Economia,"https://g1.globo.com/politica/post/2023/12/18/governo-lanca-aplicativo-para-bloquear-celular-roubado.ghtml#G1-TECNOLOGIA-FEED-user,editorial,eb059b16-c4f4-4c6a-9a77-deaeb3dd92f6",tech,g1
"Blue Origin adia missão NS-24, que seria 1º lançamento após acidente com nave",Economia,"https://g1.globo.com/inovacao/noticia/2023/12/18/blue-origin-tenta-nesta-segunda-o-1o-lancamento-apos-acidente-com-nave-pausa-dura-15-meses.ghtml#G1-TECNOLOGIA-FEED-user,editorial,eb059b16-c4f4-4c6a-9a77-deaeb3dd92f6",tech,g1
Como evitar cair em golpes ao comprar viagens de férias,Economia,"https://g1.globo.com/tecnologia/noticia/2023/12/17/como-evitar-cair-em-golpes-ao-comprar-viagens-de-ferias.ghtml#G1-TECNOLOGIA-FEED-user,editorial,eb059b16-c4f4-4c6a-9a77-deaeb3dd92f6",tech,g1
"Dólar tem queda firme, até R$ 4,85, com Fed e ata do Copom no foco, e Ibovespa sobe com pares globais",Ao vivo,https://valor.globo.com/financas/ao-vivo/2023/06/16/dolar-avanca-e-ibovespa-recua-em-dia-de-correcao-siga-os-mercados.ghtml,economia,valor_economico
"Análise: Copom mostra conforto com ritmo de corte de 0,5 ponto por reunião",Alex Ribeiro,https://valor.globo.com/financas/noticia/2023/12/19/analise-copom-mostra-conforto-com-ritmo-de-corte-de-05-ponto-por-reuniao.ghtml,economia,valor_economico
Criteria adquire três escritórios e atinge R$ 10 bi sob assessoria,Investimentos,https://valor.globo.com/financas/noticia/2023/12/19/criteria-adquire-tres-escritorios-e-atinge-r-10-bi-sob-assessoria.ghtml,economia,valor_economico
"Em meio à escalada da inflação, Argentina adota taxa básica de juros mais baixa, de 100%",Política monetária,https://valor.globo.com/financas/noticia/2023/12/19/em-meio-escalada-da-inflao-argentina-adota-taxa-bsica-de-juros-mais-baixa-de-100-pontos-percentuais.ghtml,economia,valor_economico
Registradoras enviam proposta sobre preço ao BC,Recebíveis de cartão,https://valor.globo.com/financas/noticia/2023/12/19/registradoras-de-recebiveis-enviam-proposta-sobre-preco-ao-bc.ghtml,economia,valor_economico
Bradesco mostra otimismo com 2024,Perspectiva,https://valor.globo.com/financas/noticia/2023/12/19/bradesco-mostra-otimismo-com-2024.ghtml,economia,valor_economico
"Análise: Aprovação de plano da Americanas coloca Lemann, Telles e Sicupira de volta no controle",Talita Moreira,https://valor.globo.com/empresas/noticia/2023/12/19/aprovacao-de-plano-da-americanas-coloca-lemann-telles-e-sicupira-de-volta-no-controle.ghtml,tech,valor_economico
"Azul, Gol e Latam definem lotes de passagens com limite máximo de preço para 2024",Aviação,https://valor.globo.com/empresas/noticia/2023/12/18/azul-gol-e-latam-definem-lotes-de-passagens-com-limite-mximo-de-preo-para-2024.ghtml,tech,valor_economico
"“Estou no varejo onde eu posso, nas revendas de automóveis”, diz Klein",Entrevista,https://valor.globo.com/empresas/noticia/2023/12/19/estou-no-varejo-onde-eu-posso-nas-revendas-de-automoveis-diz-klein.ghtml,tech,valor_economico
Google vai ampliar controle de semáforos com IA em 2024,Tecnologia,https://valor.globo.com/empresas/noticia/2023/12/19/google-vai-ampliar-controle-de-semaforos-com-ia-em-2024.ghtml,tech,valor_economico
Tivit lança plataforma de IA para clientes corporativos,Tecnologia,https://valor.globo.com/empresas/noticia/2023/12/19/tivit-lanca-plataforma-de-inteligencia-artificial-para-clientes-corporativos.ghtml,tech,valor_economico
Prumo avança em projeto de polo de hidrogênio verde,Energia renovável,https://valor.globo.com/empresas/noticia/2023/12/19/prumo-avanca-em-projeto-de-polo-de-hidrogenio-verde.ghtml,tech,valor_economico
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Texas City Pension System Names Calpers Investment Director as CIO,-,https://www.wsj.com/articles/texas-city-pension-system-names-calpers-investment-leader-as-cio-f77f2cc6?mod=finance_lead_story,economia,wsj
"Why UBS Wants to Be the No. 6 Investment Bank in the U.S. (Yes, No. 6)",-,https://www.wsj.com/finance/banking/why-ubs-wants-to-be-the-no-6-investment-bank-in-the-u-s-yes-no-6-488118ec?mod=finance_lead_pos1,economia,wsj
Carlyle and Insight Partners Acquire Risk-Management Business Exiger,-,https://www.wsj.com/articles/carlyle-and-insight-partners-acquire-risk-management-business-exiger-9e822402?mod=finance_lead_pos2,economia,wsj
Stocks Continue Rally on Hopes of Interest-Rate Cuts,-,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-12-18-2023-00bbe454?mod=finance_lead_pos3,economia,wsj
Ebix Files for U.S. Bankruptcy With $400 Million Bid for North American Business,-,https://www.wsj.com/articles/ebix-files-for-bankruptcy-gets-400-million-stalking-horse-bid-for-north-american-business-38b00771?mod=finance_lead_pos4,economia,wsj
Heard on the Street’s Stock-Picking Contest,-,https://www.wsj.com/finance/stocks/heard-on-the-streets-stock-picking-contest-bbb58f00?mod=finance_lead_pos5,economia,wsj
Google to Pay $700 Million in Play Store Settlement,-,https://www.wsj.com/tech/google-to-pay-700-million-in-play-store-settlement-28bed6b6?mod=tech_lead_story,tech,wsj
Adobe Scraps $20 Billion Acquisition of Figma,-,https://www.wsj.com/tech/adobe-figma-scrap-20-billion-acquisition-3488d5a1?mod=tech_lead_pos1,tech,wsj
Apple to Halt Watch Sales as It Prepares to Comply With U.S. Import Ban,-,https://www.wsj.com/tech/apple-to-halt-watch-sales-as-it-prepares-to-comply-with-u-s-import-ban-432a018c?mod=tech_lead_pos2,tech,wsj
Sluggish Wi-Fi? Weird Party Smells? 8 High-Tech Helpers for Harried Holiday Hosts,-,https://www.wsj.com/tech/personal-tech/sluggish-wi-fi-weird-party-smells-high-tech-helpers-holiday-hosting-dea521b6?mod=tech_lead_pos3,tech,wsj
"Musk’s X Faces Probe in Europe Over Handling of Illegal Content, Disinformation",-,https://www.wsj.com/tech/musks-x-faces-probe-in-europe-over-handling-of-illegal-content-disinformation-98da2280?mod=tech_lead_pos4,tech,wsj
