manchete,subtopico,link,topico,jornal
"

                        OPINIÃO: Direitos nascem em árvores?                    
","
 Mercado de ideias 
",https://braziljournal.com/opiniao-direitos-nascem-em-arvores/,economia,brazil_journal
"

                        Santander vê menos inflação e Selic a 8,5% no fim do ano                    
","

                                    Economia 
                                
",https://braziljournal.com/santander-ve-menos-inflacao-e-selic-a-85-no-fim-do-ano/,economia,brazil_journal
"

                        BREAKING: Sebastián Piñera morre em acidente aéreo                    
","

                                    Chile 
                                
",https://braziljournal.com/breaking-sebastian-pinera-morre-em-acidente-aereo/,economia,brazil_journal
"

                        Maduro x Machado: Caracas não aceita eleições livres, Biden reage, Lula se cala                    
","

                                    Venezuela 
                                
",https://braziljournal.com/maduro-x-machado-caracas-nao-aceita-eleicoes-livres-biden-retoma-sancoes-lula-se-cala/,economia,brazil_journal
"

                            Bichara: Reforma tributária é avanço, mas detalhes preocupam                        
",Reforma Tributária,https://braziljournal.com/bichara-reforma-tributaria-e-avanco-mas-detalhes-preocupam/,economia,brazil_journal
"

                            Ibiúna vê “reprecificação histórica” se Fed cortar além do consenso                        
",Gestores,https://braziljournal.com/ibiuna-ve-reprecificacao-historica-se-fed-cortar-alem-do-consenso/,economia,brazil_journal
"

                        Unico nomeia Sergio Chaia CEO; fundador vai liderar expansão global                    
","
 Tecnologia & Internet 
",https://braziljournal.com/unico-nomeia-sergio-chaia-ceo-fundador-vai-liderar-internacionalizacao/,tech,brazil_journal
"

                        Homem? Máquina? A Neuralink acaba de confundir as fronteiras                    
","

                                    Startups 
                                
",https://braziljournal.com/homem-maquina-a-neuralink-acaba-de-confundir-as-fronteiras/,tech,brazil_journal
"

                        Daki levanta R$ 25 milhões em ‘media for equity’                    
","

                                    Startups 
                                
",https://braziljournal.com/daki-levanta-r-25-milhoes-em-media-for-equity/,tech,brazil_journal
"

                        O plano da Clique Retire para chegar a 15 mil lockers                    
","

                                    Startups 
                                
",https://braziljournal.com/o-plano-da-clique-e-retire-para-chegar-a-15-mil-lockers/,tech,brazil_journal
"

                            Hotmart compra plataforma de transcrição e tradução com IA                        
",Startups,https://braziljournal.com/hotmart-compra-plataforma-de-transcricao-e-traducao-com-ia/,tech,brazil_journal
"

                            Gabriel, a startup anticrime, levanta R$ 35 milhões para crescer em São Paulo                        
",Startups,https://braziljournal.com/gabriel-a-startup-anticrime-levanta-r-35-milhoes-para-crescer-em-sao-paulo/,tech,brazil_journal
"Abílio Diniz: 'Coloque na minha lápide: estou aqui, mas eu vim contra a minha vontade'",Fundador do Pão de Açúcar,https://g1.globo.com/economia/negocios/noticia/2024/02/19/abilio-diniz-estou-aqui-mas-eu-vim-contra-a-minha-vontade.ghtml,economia,g1
Veja dicas de como renegociar dívidas no Desenrola,Educação Financeira 🎧,https://g1.globo.com/podcast/educacao-financeira/noticia/2024/02/19/educacao-financeira-282-como-renegociar-dividas-no-desenrola.ghtml,economia,g1
Argentina corta gastos e tem superávit mensal pela 1ª vez em 12 anos,Pobreza e inflação em alta,https://g1.globo.com/economia/noticia/2024/02/19/argentina-consegue-superavit-mensal-pela-primeira-vez-em-12-anos-com-cortes-de-gastos-e-pobreza-em-alta.ghtml,economia,g1
Abilio Diniz: de onde veio a fortuna estimada em US$ 2 bilhões,Economia,https://g1.globo.com/economia/negocios/noticia/2024/02/19/abilio-diniz-de-onde-veio-a-fortuna-do-empresario-estimada-em-us-2-bilhoes.ghtml,economia,g1
Dólar opera em baixa em dia de feriado nos EUA e volta do ano novo na China; Ibovespa cai,Economia,https://g1.globo.com/economia/noticia/2024/02/19/dolar-ibovespa.ghtml,economia,g1
"'Prévia do PIB' do BC sinaliza desaceleração da economia em 2023, apesar de alta de 2,45%",Economia,https://g1.globo.com/economia/noticia/2024/02/19/previa-do-pib-do-banco-central-tem-alta-de-245percent-em-2023.ghtml,economia,g1
Por que empregos nas gigantes de tecnologia perderam o encanto,Economia,https://g1.globo.com/tecnologia/noticia/2024/02/17/por-que-empregos-nas-gigantes-de-tecnologia-perderam-o-encanto.ghtml,tech,g1
Chips em alta: por que a Nvidia está crescendo mais do que 'big techs' ,Economia,https://g1.globo.com/tecnologia/noticia/2024/02/17/chips-em-alta-por-que-a-nvidia-esta-crescendo-mais-do-que-big-techs.ghtml,tech,g1
Robô da criadora do ChatGPT que gera vídeos com IA a partir de textos comete gafes; veja exemplos,Economia,https://g1.globo.com/tecnologia/noticia/2024/02/16/robo-da-criadora-do-chatgpt-que-gera-videos-com-ia-a-partir-de-textos-comete-gafes-veja-exemplos.ghtml,tech,g1
"OpenAI, dona do ChatGPT, lança modelo que cria vídeos realistas com inteligência artificial a partir de textos",Economia,"https://g1.globo.com/tecnologia/noticia/2024/02/15/openai-dona-do-chatgpt-lanca-modelo-que-cria-videos-realistas-com-inteligencia-artificial.ghtml#G1-TECNOLOGIA-FEED-user,editorial,d8ef7755-123f-43dd-b8e4-db136fe0d79a",tech,g1
Inteligência artificial: mulheres negras sofrem mais erros em abordagens de reconhecimento facial do que brancos ,Economia,"https://g1.globo.com/podcast/o-assunto/noticia/2024/02/15/inteligencia-artificial-mulheres-negras-sofrem-mais-erros-em-abordagens-de-reconhecimento-facial-do-que-brancos.ghtml#G1-TECNOLOGIA-FEED-user,editorial,d8ef7755-123f-43dd-b8e4-db136fe0d79a",tech,g1
"Nvidia supera Google e Amazon, e se torna 4ª empresa mais valiosa do mundo",Economia,"https://g1.globo.com/economia/negocios/noticia/2024/02/15/nvidia-supera-google-e-amazon-e-se-torna-4a-empesa-mais-valiosa-do-mundo.ghtml#G1-TECNOLOGIA-FEED-user,editorial,d8ef7755-123f-43dd-b8e4-db136fe0d79a",tech,g1
Economistas dizem ao BC que medo de espiral de preços e salários pode ser exagerado,Análise - Alex Ribeiro,https://valor.globo.com/financas/noticia/2024/02/19/analise-economistas-dizem-ao-bc-que-medo-de-espiral-de-precos-e-salarios-pode-ser-exagerado.ghtml,economia,valor_economico
O homem que domou o banco mais problemático do mundo,Fim dos escândalos,https://valor.globo.com/financas/noticia/2024/02/19/o-homem-que-domou-o-banco-mais-problemtico-do-mundo.ghtml,economia,valor_economico
Fintech brasileira apoiada por Jeff Bezos dobra lucro enquanto preserva caixa,Estratégia,https://valor.globo.com/financas/noticia/2024/02/19/fintech-brasileira-apoiada-por-jeff-bezos-dobra-lucro-enquanto-preserva-caixa.ghtml,economia,valor_economico
Trabuco deve assumir lugar de Lazari na presidência do conselho da Febraban,Bancos,https://valor.globo.com/financas/noticia/2024/02/19/trabuco-deve-assumir-lugar-de-lazari-na-presidncia-do-conselho-da-febraban.ghtml,economia,valor_economico
Reduzir custo de capital é agenda prioritária,Diz Marcos Pinto,https://valor.globo.com/financas/noticia/2024/02/19/reduzir-custo-de-capital-e-agenda-prioritaria-diz-marcos-pinto.ghtml,economia,valor_economico
Controlada do Banrisul anuncia OPA para fechar capital,Bolsa,https://valor.globo.com/financas/noticia/2024/02/19/controlada-do-banrisul-anuncia-opa-para-fechamento-de-capital.ghtml,economia,valor_economico
Trajetória de Abilio Diniz também foi marcada por conflitos e polêmicas; relembre,Empresas,https://valor.globo.com/empresas/noticia/2024/02/19/trajetoria-de-abilio-diniz-tambem-foi-marcada-por-conflitos-e-polemicas-relembre.ghtml,tech,valor_economico
Companhias intensificam renegociação com credores em 2024,Reestruturação,https://valor.globo.com/empresas/noticia/2024/02/19/companhias-intensificam-renegociacao-com-credores-em-2024.ghtml,tech,valor_economico
"Com novo sócio, Alphaville mira alto padrão",Empresas,https://valor.globo.com/empresas/noticia/2024/02/19/com-novo-socio-alphaville-mira-alto-padrao.ghtml,tech,valor_economico
"Famosa entre ciclistas, Shimano enfrenta processo por produtos defeituosos",Empresas,https://valor.globo.com/empresas/noticia/2024/02/19/famosa-entre-ciclistas-shimano-enfrenta-processo-por-produtos-defeituosos.ghtml,tech,valor_economico
Pfizer anuncia Gibim para presidência no Brasil,Empresas,https://valor.globo.com/empresas/noticia/2024/02/19/pfizer-anuncia-alexandre-gibim-ex-novartis-e-eli-lilly-para-presidncia-no-brasil.ghtml,tech,valor_economico
Custo do plano de saúde para crianças é o que mais cresce,Convênio,https://valor.globo.com/empresas/noticia/2024/02/19/custo-do-plano-de-saude-para-criancas-e-o-que-mais-cresce.ghtml,tech,valor_economico
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
The Secret Oil-Trading Ring That Funds Russia’s War,-,https://www.wsj.com/business/energy-oil/russia-oil-trading-secret-network-sanctions-fc3981b7?mod=finance_lead_story,economia,wsj
Capital One is Buying Discover Financial,-,https://www.wsj.com/finance/capital-one-is-buying-discover-financial-sources-say-a7c43dd2?mod=finance_lead_pos1,economia,wsj
America’s Oil Power Might Be Near Its Peak,-,https://www.wsj.com/business/energy-oil/americas-oil-power-might-be-near-its-peak-5d956a24?mod=finance_lead_pos2,economia,wsj
Nvidia’s Staying Power Is the $2 Trillion Question,-,https://www.wsj.com/tech/nvidia-stock-company-market-cap-291b7b7d?mod=finance_lead_pos3,economia,wsj
SoftBank’s $118 Billion Arm Problem,-,https://www.wsj.com/finance/stocks/softbanks-118-billion-arm-problem-4ec3f422?mod=finance_lead_pos4,economia,wsj
Stock Futures Rise Ahead of Busy Earnings Week,-,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-02-19-2024-14463959?mod=finance_lead_pos5,economia,wsj
A Venture Capitalist’s View of AI: Where the Money Is,-,https://www.wsj.com/tech/ai/making-money-ai-hemant-taneja-6e3017ae?mod=tech_lead_story,tech,wsj
How to Use Technology to Better Pace Your Work,-,https://www.wsj.com/tech/personal-tech/maximize-productivity-technology-tools-0b14cb70?mod=tech_lead_pos1,tech,wsj
"TikTok Faces EU Investigation Over Protection of Minors, Harmful Content",-,https://www.wsj.com/tech/tiktok-faces-eu-investigation-over-protection-of-minors-harmful-content-4a2ae455?mod=tech_lead_pos2,tech,wsj
Nvidia’s Staying Power Is the $2 Trillion Question,-,https://www.wsj.com/tech/nvidia-stock-company-market-cap-291b7b7d?mod=tech_lead_pos3,tech,wsj
Billions Start Flowing to Chip Makers for New U.S. Factories,-,https://www.wsj.com/tech/billions-start-flowing-to-chip-makers-for-new-u-s-factories-4d832ffd?mod=tech_lead_pos4,tech,wsj
"Tech Leaders Fled San Francisco During the Pandemic. Now, They’re Coming Back.",-,https://www.wsj.com/tech/san-francisco-ai-boom-silicon-valley-307816b2?mod=tech_lead_pos5,tech,wsj
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Investors buy European luxury stocks as ‘safer’ play on China’s economy,China Economic Slowdown,https://www.ft.com/content/8aaf66c6-6cc6-4631-9817-7b6fa78e7aab,economia,ft
Hedge fund stampede into cocoa futures fuels record price jump,Agricultural commodities,https://www.ft.com/content/563227fe-edfb-40bd-bea9-dc2822ba4f27,economia,ft
Kenyan shilling soars after $1.5bn bond issue eases default fears,Kenya,https://www.ft.com/content/57fe398e-10dc-448c-b9a9-b330eec95fbc,economia,ft
JPMorgan and State Street quit climate group as BlackRock scales back,Fund management,https://www.ft.com/content/3ce06a6f-f0e3-4f70-a078-82a6c265ddc2,economia,ft
The new realism in venture capital is healthy,Holden Spaht,https://www.ft.com/content/f0a5e8fa-4313-4de5-9c2c-ae2957191a65,economia,ft
Skyrocketing Arm share price shows need for UK reform,Craig Coben,https://www.ft.com/content/71d04a38-0b7b-4b05-980c-226188b9457e,economia,ft
‘Strings attached’: Saudi Arabia steps up demands in tech deals with China,Technology sector,https://www.ft.com/content/21f9ca35-7170-4eab-bf0b-2f3d0df9bad1,tech,ft
EU to hit Apple with first ever fine in €500mn music streaming penalty,Apple Inc,https://www.ft.com/content/1e677a7e-9494-4f5b-a724-9e58ef26b34f,tech,ft
FBI warns Chinese malware could threaten critical US infrastructure,Cyber Security,https://www.ft.com/content/8d90b1de-df1e-47ad-8bdb-5c0ee4f85e45,tech,ft
Hedge funds reap big gains after ramping up bets on Nvidia,Nvidia,https://www.ft.com/content/19ec60a8-41e3-4290-9da6-701211d510f4,tech,ft
Game over? Industry suffers slowdown after decades-long winning streak,Games industry,https://www.ft.com/content/cc6bd66c-6341-4367-85cc-86d274102378,tech,ft
How Kharkiv’s tech start-ups became the ultimate test of business resilience,Technology sector,https://www.ft.com/content/248c4ac0-2e20-4900-bb21-625c0e260b66,tech,ft
Has Gensler’s SEC pushed Wall Street too far?,The Big Read,https://www.ft.com/content/29e5c880-edbe-4227-879d-7b401f36b697,deep_dive,ft
Inside Donald Tusk’s divisive campaign to restore Polish democracy,The Big Read,https://www.ft.com/content/e3b10baf-c508-4af1-ad25-8188cf60b174,deep_dive,ft
Israel’s Rafah offensive: a tipping point for US support?,The Big Read,https://www.ft.com/content/a869bfd8-7303-4178-998a-7257eca1f167,deep_dive,ft
Will Germany deliver on its grand military ambitions?,The Big Read,https://www.ft.com/content/51cf54ed-55df-4369-bdef-6f98be17d26c,deep_dive,ft
Can OpenAI create superintelligence before it runs out of cash?,The Big Read,https://www.ft.com/content/6314d78d-81f3-43f5-9daf-b10f3ff9e24f,deep_dive,ft
The uninsurable world: what climate change is costing homeowners,The Big Read,https://www.ft.com/content/ed3a1bb9-e329-4e18-89de-9db90eaadc0b,deep_dive,ft
